ImageId,EncodedPixels
76232,"[95293, 8, 95323, 9, 95794, 52, 96312, 46, 96862, 6]"
71058,"[190473, 1, 190985, 2, 191496, 4, 192008, 5, 192520, 6, 193032, 7, 193544, 8, 194056, 8, 194568, 9, 195080, 10, 195592, 10, 196104, 11, 196616, 13, 197128, 14, 197640, 15, 198152, 16, 198665, 16, 199177, 18, 199690, 19, 200203, 19, 200716, 19, 201231, 17, 201745, 16, 202259, 16, 202772, 16, 203286, 15, 203799, 16, 204312, 17, 204825, 18, 205338, 19, 205850, 20, 206364, 19, 206879, 17, 207393, 16, 207907, 15, 208420, 15, 208933, 15, 209447, 14, 209960, 15, 210473, 15, 210987, 15, 211500, 15, 212013, 15, 212527, 14, 213040, 14, 213553, 14, 214066, 14, 214579, 14, 215092, 15, 215606, 14, 216119, 14, 216632, 15, 217145, 15, 217658, 15, 218171, 15, 218684, 15, 219197, 14, 219710, 14, 220223, 14, 220736, 15, 221249, 16, 221763, 15, 222276, 16, 222789, 16, 223302, 16, 223815, 16, 224328, 16, 224841, 16, 225355, 15, 225868, 15, 226382, 15, 226895, 16, 227408, 17, 227922, 16, 228435, 16, 228948, 16, 229461, 16, 229974, 16, 230487, 16, 231001, 16, 231515, 15, 232028, 15, 232542, 15, 233055, 16, 233568, 16, 234081, 16, 234594, 16, 235107, 16, 235620, 16, 236133, 17, 236647, 16, 237160, 16, 237674, 16, 238187, 18, 238700, 18, 239213, 18, 239726, 19, 240240, 19, 240753, 20, 241266, 22, 241780, 20, 242294, 19, 242808, 19, 243323, 18, 243836, 19, 244349, 20, 244862, 21, 245375, 22, 245888, 22, 246401, 23, 246915, 22, 247429, 21, 247943, 20, 248457, 19, 248971, 18, 249484, 18, 249997, 18, 250509, 18, 251025, 15, 251541, 11, 252054, 11, 252567, 10, 253081, 7, 253594, 1, 254630, 2, 255141, 7, 255654, 7, 256167, 8, 256681, 11, 257194, 10, 257707, 10, 258220, 9, 258734, 6, 259249, 3]"
73690,"[1437, 2, 1946, 7, 2457, 9, 2970, 8, 3482, 9, 3995, 8, 4507, 9, 5019, 9, 5531, 10, 6044, 9, 6556, 10, 7068, 10, 7581, 9, 8093, 10, 8606, 9, 9119, 8, 9631, 9, 10143, 9, 10656, 8, 11168, 9, 11680, 9, 12193, 9, 12705, 10, 13218, 9, 13731, 9, 14243, 9, 14755, 10, 15268, 10, 15780, 10, 16293, 10, 16805, 10, 17318, 10, 17830, 10, 18343, 10, 18855, 11, 19368, 10, 19880, 10, 20393, 10, 20905, 10, 21418, 9, 21930, 10, 22443, 9, 22955, 10, 23468, 9, 23980, 10, 24492, 10, 25005, 9, 25517, 10, 26030, 9, 26542, 10, 27055, 9, 27567, 10, 28079, 10, 28592, 10, 29104, 10, 29616, 10, 30129, 10, 30641, 10, 31154, 10, 31666, 10, 32179, 10, 32691, 10, 33204, 10, 33716, 10, 34228, 10, 34740, 11, 35253, 10, 35765, 11, 36278, 10, 36790, 10, 37302, 11, 37815, 10, 38327, 11, 38839, 11, 39352, 11, 39864, 11, 40376, 12, 40888, 12, 41401, 12, 41913, 12, 42426, 12, 42938, 12, 43451, 11, 43963, 12, 44475, 12, 44988, 11, 45500, 12, 46012, 12, 46525, 11, 47037, 12, 47550, 12, 48062, 12, 48575, 12, 49087, 13, 49599, 13, 50111, 14, 50624, 13, 51136, 13, 51649, 13, 52161, 13, 52674, 12, 53186, 13, 53699, 12, 54211, 12, 54724, 11, 55236, 12, 55749, 12, 56261, 12, 56774, 12, 57286, 13, 57799, 12, 58311, 13, 58823, 13, 59336, 12, 59848, 13, 60361, 12, 60874, 11, 61386, 12, 61899, 11, 62411, 11, 62923, 11, 63436, 10, 63948, 11, 64461, 10, 64974, 10, 65486, 11, 65998, 12, 66511, 11, 67023, 12, 67535, 12, 68047, 13, 68560, 12, 69073, 11, 69585, 12, 70098, 11, 70610, 11, 71122, 12, 71635, 11, 72147, 11, 72659, 11, 73172, 11, 73685, 11, 74197, 11, 74710, 11, 75222, 12, 75734, 12, 76247, 12, 76759, 12, 77271, 13, 77784, 12, 78297, 12, 78809, 12, 79322, 11, 79834, 11, 80346, 12, 80859, 11, 81371, 11, 81884, 11, 82396, 12, 82909, 12, 83421, 13, 83934, 13, 84446, 13, 84958, 14, 85471, 13, 85983, 14, 86496, 13, 87009, 13, 87522, 12, 88034, 12, 88546, 13, 89059, 12, 89572, 12, 90084, 12, 90597, 12, 91110, 12, 91622, 13, 92135, 12, 92647, 13, 93160, 12, 93672, 12, 94185, 12, 94698, 11, 95211, 10, 95724, 9, 96236, 10, 96749, 9, 97261, 9, 97774, 9, 98286, 9, 98798, 10, 99311, 9, 99823, 10, 100336, 10, 100848, 10, 101361, 10, 101873, 10, 102386, 9, 102898, 10, 103411, 9, 103923, 9, 104436, 8, 104948, 9, 105461, 8, 105973, 8, 106485, 8, 106998, 7, 107510, 8, 108022, 8, 108535, 7, 109047, 8, 109560, 7, 110072, 7, 110585, 6, 111097, 6, 111609, 7, 112121, 7, 112634, 6, 113146, 6, 113658, 6, 114170, 6, 114682, 6, 115195, 5, 115707, 5, 116219, 5, 116732, 4, 117245, 2, 117757, 2, 118270, 1, 118782, 1]"
79306,"[171380, 1, 171891, 3, 172403, 4, 172915, 3, 173428, 1, 189779, 4, 190290, 7, 190802, 6, 191314, 5, 191827, 3, 192339, 2, 192851, 1, 207667, 1, 208178, 8, 208690, 5, 209202, 3, 209715, 1]"
74502,"[63827, 2, 64339, 4, 64850, 7, 65361, 9, 65873, 10, 66384, 11, 66897, 9, 67409, 8, 67921, 7, 68434, 5, 68946, 4, 69459, 3, 69971, 2]"
78838,"[16766, 1, 17277, 3, 17788, 4, 18300, 4, 18811, 5, 19323, 5, 19835, 5, 20346, 7, 20858, 7, 21370, 7, 21881, 8, 22393, 8, 22905, 8, 23416, 9, 23928, 10, 24440, 10, 24952, 10, 25463, 11, 25975, 11, 26487, 11, 26999, 12, 27510, 13, 28022, 13, 28534, 13, 29046, 13, 29558, 13, 30070, 13, 30582, 14, 31093, 15, 31605, 15, 32117, 15, 32629, 15, 33141, 15, 33653, 15, 34165, 15, 34677, 15, 35189, 15, 35702, 14, 36214, 14, 36726, 14, 37238, 14, 37750, 14, 38262, 14, 38774, 14, 39286, 14, 39798, 14, 40310, 14, 40822, 14, 41334, 14, 41846, 14, 42358, 14, 42870, 14, 43382, 14, 43894, 14, 44406, 14, 44918, 14, 45430, 14, 45942, 14, 46455, 13, 46967, 13, 47479, 13, 47991, 13, 48503, 13, 49015, 13, 49527, 14, 50039, 14, 50551, 14, 51063, 14, 51575, 14, 52087, 14, 52599, 13, 53111, 13, 53623, 13, 54135, 13, 54647, 13, 55159, 13, 55671, 13, 56183, 13, 56695, 13, 57207, 13, 57719, 13, 58231, 13, 58743, 13, 59255, 13, 59767, 13, 60279, 13, 60791, 13, 61303, 13, 61815, 13, 62327, 13, 62839, 13, 63351, 13, 63863, 13, 64375, 13, 64887, 13, 65399, 13, 65912, 12, 66424, 13, 66936, 13, 67448, 13, 67960, 13, 68472, 13, 68984, 13, 69496, 13, 70008, 13, 70520, 13, 71031, 13, 71543, 13, 72055, 13, 72567, 13, 73079, 13, 73591, 13, 74103, 13, 74615, 13, 75127, 13, 75639, 13, 76151, 13, 76663, 13, 77174, 14, 77686, 14, 78199, 13, 78711, 13, 79223, 13, 79735, 13, 80247, 13, 80759, 13, 81271, 13, 81783, 13, 82295, 13, 82807, 13, 83319, 13, 83831, 13, 84343, 13, 84855, 13, 85367, 13, 85879, 13, 86391, 13, 86903, 13, 87415, 13, 87927, 13, 88439, 13, 88951, 13, 89463, 13, 89975, 13, 90487, 13, 90999, 13, 91510, 14, 92022, 14, 92534, 14, 93046, 14, 93558, 14, 94070, 14, 94582, 14, 95093, 15, 95605, 15, 96117, 15, 96629, 15, 97141, 15, 97653, 15, 98165, 15, 98677, 15, 99189, 15, 99701, 15, 100214, 14, 100726, 14, 101238, 14, 101750, 14, 102262, 14, 102774, 14, 103286, 14, 103798, 14, 104310, 14, 104822, 14, 105334, 14, 105846, 14, 106357, 15, 106869, 15, 107381, 15, 107893, 15, 108405, 15, 108917, 15, 109429, 15, 109941, 15, 110453, 15, 110964, 16, 111476, 16, 111988, 16, 112500, 15, 113012, 15, 113523, 16, 114035, 16, 114547, 16, 115059, 16, 115571, 16, 116083, 16, 116595, 16, 117107, 16, 117619, 16, 118131, 16, 118643, 16, 119155, 16, 119667, 16, 120179, 16, 120691, 16, 121203, 16, 121715, 16, 122227, 16, 122739, 16, 123251, 16, 123763, 16, 124275, 16, 124786, 17, 125298, 17, 125809, 18, 126321, 18, 126833, 18, 127344, 19, 127856, 19, 128368, 19, 128880, 19, 129392, 19, 129904, 18, 130416, 18, 130927, 19, 131439, 19, 131951, 19, 132463, 19, 132975, 19, 133487, 19, 133999, 19, 134511, 19, 135023, 19, 135535, 19, 136047, 19, 136559, 19, 137071, 19, 137583, 19, 138095, 19, 138607, 19, 139119, 19, 139631, 19, 140143, 19, 140655, 19, 141167, 19, 141679, 19, 142191, 19, 142703, 19, 143215, 19, 143727, 19, 144239, 19, 144751, 19, 145263, 19, 145775, 19, 146287, 19, 146799, 19, 147311, 19, 147823, 19, 148335, 19, 148847, 19, 149359, 19, 149871, 19, 150383, 19, 150895, 19, 151407, 19, 151919, 19, 152431, 19, 152943, 19, 153455, 19, 153967, 19, 154479, 19, 154991, 19, 155503, 19, 156015, 19, 156527, 19, 157039, 19, 157551, 19, 158063, 19, 158575, 19, 159087, 18, 159599, 19, 160111, 19, 160623, 19, 161135, 19, 161647, 19, 162159, 19, 162671, 19, 163183, 19, 163695, 19, 164207, 19, 164719, 19, 165231, 19, 165743, 19, 166255, 19, 166767, 19, 167279, 19, 167791, 19, 168303, 19, 168815, 19, 169327, 19, 169839, 19, 170351, 19, 170863, 19, 171375, 19, 171887, 19, 172399, 19, 172911, 19, 173424, 18, 173936, 18, 174448, 18, 174960, 19, 175472, 19, 175984, 19, 176496, 19, 177008, 19, 177520, 19, 178032, 19, 178544, 19, 179056, 19, 179568, 19, 180080, 19, 180592, 19, 181104, 19, 181616, 19, 182128, 19, 182640, 19, 183152, 19, 183664, 19, 184176, 19, 184688, 19, 185200, 19, 185713, 18, 186225, 18, 186737, 18, 187249, 18, 187761, 18, 188272, 19, 188784, 19, 189296, 20, 189808, 20, 190320, 20, 190832, 20, 191344, 20, 191856, 20, 192368, 20, 192880, 20, 193392, 20, 193904, 20, 194416, 20, 194928, 20, 195440, 20, 195952, 20, 196464, 20, 196976, 20, 197488, 20, 198000, 20, 198512, 20, 199024, 20, 199536, 19, 200048, 19, 200561, 18, 201073, 18, 201585, 18, 202097, 18, 202610, 17, 203122, 17, 203634, 17, 204146, 16, 204659, 15, 205170, 16, 205682, 16, 206193, 17, 206704, 18, 207216, 18, 207728, 18, 208240, 18, 208752, 18, 209264, 18, 209776, 18, 210288, 18, 210800, 18, 211311, 19, 211823, 19, 212335, 19, 212847, 19, 213359, 19, 213871, 19, 214383, 19, 214895, 19, 215407, 19, 215919, 19, 216431, 19, 216943, 19, 217455, 19, 217967, 19, 218479, 19, 218991, 19, 219502, 20, 220014, 20, 220526, 20, 221038, 19, 221550, 19, 222062, 19, 222574, 19, 223086, 19, 223598, 19, 224110, 19, 224622, 19, 225134, 18, 225646, 18, 226158, 18, 226670, 18, 227182, 18, 227694, 17, 228206, 17, 228718, 17, 229230, 15, 229742, 14, 230254, 13, 230766, 13, 231278, 12, 231790, 11, 232303, 10, 232815, 9, 233327, 8, 233839, 8, 234351, 7, 234863, 7, 235375, 6, 235887, 6, 236399, 5, 236911, 5, 237424, 3, 237936, 3, 238448, 2, 238960, 2, 239472, 1, 239984, 1]"
76854,"[217591, 1, 218102, 2, 218613, 3, 219124, 4, 219634, 6, 220146, 6, 220658, 6, 221170, 6, 227299, 7, 227809, 11, 228319, 14, 228830, 16, 229341, 17, 229853, 17, 230365, 16, 230877, 14, 231389, 13, 231901, 11, 232413, 10, 232925, 8, 233437, 7, 233949, 4, 234462, 1, 234974, 1, 237017, 1, 237527, 4, 238036, 7, 238547, 9, 239059, 9, 239571, 7, 240084, 5, 245706, 5, 246216, 7, 246727, 9, 247238, 10, 247748, 12, 248259, 13, 248771, 12, 249283, 12, 249796, 10, 250308, 9, 250820, 8, 251332, 7, 251844, 5, 255424, 1, 255936, 1, 256447, 3, 256959, 3, 257470, 4, 257983, 2]"
75058,"[14404, 2, 14916, 2, 15428, 2, 15940, 2, 16452, 3, 16963, 4, 17475, 4, 17987, 5, 18499, 5, 19011, 5, 19524, 3, 20036, 2, 27222, 1, 27734, 1, 28245, 2, 28757, 2, 29268, 4, 29780, 4, 30292, 4, 30804, 5, 31316, 5, 31827, 6, 32339, 7, 32851, 7, 33363, 8, 33875, 8, 34387, 8, 34899, 9, 35411, 9, 35924, 7, 36436, 7, 36949, 6, 37461, 5, 37974, 4, 38486, 2, 40548, 4, 41057, 8, 41568, 10, 42079, 12, 42591, 12, 43103, 13, 43616, 12, 44128, 12, 44640, 12, 45153, 11, 45665, 11, 46177, 12, 46690, 11, 47202, 11, 47714, 11, 48226, 11, 48738, 11, 49250, 12, 49763, 11, 50275, 11, 50787, 11, 51299, 11, 51812, 10, 52324, 10, 52836, 9, 53349, 8, 53861, 8, 54374, 6, 54887, 4, 55399, 3, 60536, 2, 61048, 2, 61560, 2, 62072, 2, 62584, 2, 63096, 2, 63608, 3, 64120, 3, 64632, 3, 65143, 4, 65655, 4, 66167, 4, 66679, 5, 67191, 5, 67704, 3, 68216, 3, 68729, 1, 73864, 4, 74375, 6, 74886, 8, 75397, 9, 75909, 9, 76422, 8, 76934, 8, 77447, 7, 77959, 7, 78472, 5, 78984, 5, 79497, 4, 80009, 4, 80521, 3, 81034, 2, 81546, 2, 89243, 2, 89755, 2, 90266, 4, 90777, 6, 91289, 6, 91801, 6, 92313, 6, 92825, 6, 93338, 5, 93850, 5, 94362, 5, 94875, 3, 95387, 3, 95899, 3, 96412, 1, 96924, 1, 104109, 1, 104620, 3, 105131, 4, 105643, 5, 106154, 6, 106666, 7, 107178, 8, 107689, 9, 108201, 9, 108714, 8, 109226, 8, 109739, 6, 110251, 6, 110763, 6, 111276, 4, 111788, 4, 112300, 3, 112813, 2, 113325, 1, 146622, 2, 147134, 2, 147645, 4, 148156, 6, 148669, 5, 149182, 3, 149695, 1, 153808, 1, 154317, 5, 154828, 6, 155339, 8, 155850, 10, 156362, 10, 156875, 9, 157388, 8, 157901, 6, 158415, 3, 158928, 1, 171762, 2, 172273, 4, 172784, 6, 173297, 4, 173810, 2, 196391, 6, 196902, 24, 197415, 17, 197465, 4, 202110, 2, 202619, 8, 203129, 14, 203164, 10, 203640, 19, 203669, 24, 204150, 83, 204661, 89, 205172, 94, 205688, 86, 206205, 9, 206229, 29, 206263, 16, 206750, 8]"
70500,"[40810, 1, 41322, 2, 41834, 2, 42346, 2, 42858, 2, 43369, 3, 43881, 3, 44393, 3, 44905, 4, 45417, 4, 45929, 4, 46441, 4, 46952, 5, 47464, 5, 47976, 5, 48488, 5, 49000, 6, 49512, 6, 50024, 6, 50536, 6, 51048, 6, 51560, 6, 52072, 6, 52584, 6, 53096, 6, 53608, 6, 54120, 6, 54632, 6, 55144, 6, 55656, 6, 56168, 7, 56680, 7, 57192, 7, 57704, 7, 58216, 7, 58728, 7, 59240, 7, 59752, 7, 60264, 7, 60776, 7, 61288, 7, 61800, 7, 62312, 7, 62825, 6, 63337, 6, 63849, 6, 64361, 6, 64873, 6, 65385, 6, 65897, 6, 66409, 6, 66921, 7, 67433, 7, 67945, 7, 68457, 7, 68969, 7, 69481, 7, 69993, 7, 70505, 7, 71017, 8, 71529, 8, 72041, 8, 72553, 9, 73065, 9, 73577, 9, 74089, 10, 74601, 10, 75113, 11, 75626, 11, 76138, 12, 76650, 13, 77162, 15, 77674, 17, 78186, 18, 78698, 18, 79210, 19, 79722, 19, 80234, 19, 80746, 19, 81259, 18, 81771, 18, 82286, 15, 82800, 13, 83313, 12, 83826, 12, 84338, 12, 84851, 11, 85363, 11, 85876, 10, 86388, 10, 86900, 10, 87412, 10, 87924, 10, 88436, 10, 88948, 10, 89460, 10, 89972, 10, 90484, 11, 90996, 11, 91507, 12, 92019, 12, 92531, 12, 93043, 12, 93555, 12, 94067, 12, 94578, 13, 95090, 13, 95602, 13, 96114, 13, 96626, 13, 97138, 13, 97650, 13, 98162, 13, 98675, 12, 99187, 12, 99699, 12, 100212, 11, 100724, 11, 101236, 11, 101749, 10, 102261, 10, 102773, 10, 103285, 10, 103797, 10, 104310, 9, 104822, 10, 105334, 10, 105846, 10, 106358, 10, 106870, 10, 107382, 10, 107894, 10, 108406, 10, 108918, 10, 109430, 9, 109942, 9, 110454, 9, 110966, 9, 111478, 9, 111990, 9, 112502, 9, 113014, 9, 113526, 9, 114038, 9, 114550, 9, 115062, 9, 115574, 9, 116087, 8, 116599, 8, 117111, 8, 117623, 8, 118135, 8, 118647, 8, 119159, 9, 119671, 9, 120183, 9, 120695, 9, 121207, 9, 121719, 9, 122231, 9, 122743, 9, 123255, 9, 123768, 8, 124280, 8, 124792, 8, 125304, 8, 125816, 8, 126328, 8, 126840, 8, 127352, 8, 127864, 8, 128376, 8, 128888, 8, 129400, 8, 129912, 8, 130424, 8, 130936, 8, 131448, 8, 131960, 8, 132472, 8, 132985, 7, 133497, 7, 134009, 7, 134521, 7, 135033, 7, 135545, 7, 136057, 7, 136569, 7, 137081, 7, 137593, 7, 138105, 7, 138617, 7, 139129, 7, 139641, 8, 140153, 8, 140665, 8, 141177, 8, 141689, 8, 142201, 8, 142713, 8, 143225, 8, 143737, 9, 144249, 9, 144761, 9, 145273, 8, 145785, 8, 146297, 8, 146810, 7, 147322, 7, 147834, 7, 148346, 7, 148858, 7, 149370, 7, 149882, 6, 150394, 6, 150906, 6, 151418, 6, 151931, 5, 152443, 5, 152955, 5, 153467, 4, 153979, 4, 154491, 4, 155003, 4, 155515, 3, 156028, 2, 156540, 1, 157052, 1, 167308, 1, 167820, 1, 168331, 3, 168843, 3, 169355, 3, 169866, 4, 170378, 4, 170890, 4, 171402, 4, 171913, 6, 172425, 6, 172937, 6, 173449, 6, 173961, 6, 174473, 6, 174985, 7, 175496, 8, 176008, 8, 176520, 8, 177032, 8, 177544, 9, 178056, 9, 178568, 9, 179080, 9, 179592, 9, 180104, 10, 180616, 10, 181128, 10, 181640, 10, 182152, 10, 182664, 10, 183176, 10, 183688, 10, 184200, 10, 184712, 10, 185224, 10, 185736, 11, 186248, 11, 186761, 10, 187273, 10, 187785, 10, 188297, 10, 188809, 10, 189321, 10, 189833, 10, 190345, 11, 190857, 11, 191369, 11, 191881, 11, 192393, 11, 192905, 11, 193417, 11, 193929, 12, 194442, 11, 194954, 11, 195466, 11, 195978, 12, 196490, 12, 197002, 13, 197514, 13, 198026, 14, 198538, 14, 199050, 15, 199562, 16, 200074, 16, 200586, 17, 201099, 16, 201611, 17, 202123, 17, 202635, 18, 203147, 19, 203659, 19, 204171, 19, 204683, 20, 205195, 20, 205707, 20, 206219, 20, 206731, 20, 207243, 20, 207756, 20, 208268, 20, 208780, 20, 209292, 20, 209804, 20, 210316, 20, 210829, 19, 211341, 19, 211855, 17, 212368, 17, 212882, 15, 213395, 14, 213907, 14, 214420, 13, 214933, 12, 215445, 12, 215957, 12, 216470, 11, 216982, 11, 217494, 12, 218007, 11, 218519, 11, 219031, 11, 219543, 11, 220055, 10, 220567, 10, 221079, 10, 221592, 9, 222104, 9, 222616, 9, 223128, 9, 223640, 9, 224152, 9, 224664, 9, 225177, 8, 225689, 8, 226201, 8, 226713, 8, 227225, 8, 227737, 8, 228249, 8, 228761, 8, 229273, 8, 229786, 7, 230298, 7, 230810, 7, 231322, 7, 231834, 7, 232346, 7, 232858, 8, 233370, 8, 233882, 8, 234394, 8, 234906, 8, 235418, 8, 235930, 8, 236442, 8, 236954, 8, 237466, 8, 237978, 8, 238490, 9, 239003, 8, 239515, 8, 240027, 8, 240539, 8, 241051, 8, 241563, 8, 242075, 8, 242587, 9, 243099, 9, 243611, 9, 244123, 9, 244635, 10, 245147, 10, 245659, 11, 246173, 5]"
77962,"[28460, 1, 28972, 1, 29483, 2, 29995, 3, 30507, 3, 31019, 3, 31531, 4, 32043, 4, 32555, 4, 33067, 4, 33579, 3, 34092, 1, 34604, 1, 46394, 1, 46905, 2, 47417, 2, 47928, 3, 48440, 3, 48951, 4, 49463, 5, 49974, 6, 50486, 6, 50998, 6, 51510, 6, 52022, 6, 52534, 6, 53046, 6, 53558, 6, 54070, 6, 54582, 6, 55095, 5, 55607, 5, 56119, 5, 56631, 5, 57143, 5, 57655, 5, 58167, 5, 58679, 5, 59191, 5, 59703, 5, 60215, 5, 60727, 5, 61239, 5, 61751, 5, 62263, 5, 62775, 5, 63287, 5, 63799, 5, 64311, 5, 64823, 5, 65335, 5, 65847, 5, 66359, 5, 66871, 5, 67382, 7, 67894, 7, 68406, 7, 68918, 7, 69430, 7, 69942, 7, 70455, 6, 70967, 5, 71479, 5, 71991, 5, 72503, 5, 73015, 5, 73527, 5, 74039, 5, 74551, 5, 75063, 5, 75575, 5, 76087, 5, 76599, 5, 77111, 5, 77623, 5, 78135, 5, 78647, 5, 79159, 5, 79671, 5, 80183, 5, 80695, 5, 81207, 5, 81719, 5, 82231, 5, 82743, 5, 83254, 6, 83766, 6, 84278, 6, 84790, 6, 85302, 7, 85814, 7, 86326, 7, 86838, 7, 87350, 7, 87862, 7, 88374, 6, 88886, 6, 89398, 6, 89910, 6, 90422, 6, 90935, 5, 91447, 5, 91959, 5, 92471, 5, 92983, 5, 93495, 4, 94007, 4, 94519, 4, 95031, 4, 95544, 3, 96056, 3, 96568, 3, 97080, 3, 97592, 3, 98104, 3, 98616, 3, 99128, 3, 99640, 3, 100152, 3, 100664, 3, 101176, 3, 101688, 3, 102200, 3, 102712, 3, 103224, 3, 103736, 3, 104247, 4, 104759, 4, 105271, 4, 105784, 3, 106296, 3, 106809, 2, 111916, 1, 112427, 3, 112939, 4, 113451, 4, 113963, 5, 114475, 5, 114987, 5, 115499, 5, 116011, 5, 116523, 5, 117035, 5, 117547, 5, 118059, 5, 118571, 6, 119083, 6, 119595, 6, 120107, 6, 120619, 6, 121131, 6, 121642, 7, 122154, 7, 122666, 7, 123178, 7, 123690, 7, 124202, 7, 124714, 7, 125226, 7, 125738, 7, 126250, 7, 126762, 7, 127274, 7, 127786, 7, 128298, 7, 128810, 7, 129322, 7, 129834, 7, 130346, 7, 130858, 7, 131370, 7, 131881, 8, 132393, 8, 132905, 8, 133417, 8, 133929, 8, 134441, 8, 134953, 8, 135465, 8, 135977, 8, 136489, 8, 137001, 8, 137513, 8, 138025, 8, 138537, 8, 139049, 8, 139561, 8, 140073, 8, 140585, 8, 141097, 8, 141609, 8, 142121, 8, 142633, 8, 143145, 8, 143657, 8, 144169, 8, 144681, 8, 145193, 8, 145705, 8, 146217, 8, 146729, 8, 147241, 8, 147753, 8, 148265, 8, 148777, 8, 149289, 8, 149801, 8, 150313, 8, 150825, 8, 151337, 8, 151849, 8, 152361, 8, 152873, 8, 153385, 8, 153897, 8, 154409, 8, 154921, 8, 155433, 8, 155945, 8, 156457, 8, 156969, 8, 157481, 8, 157993, 8, 158505, 8, 159017, 8, 159529, 8, 160041, 8, 160553, 8, 161065, 8, 161577, 8, 162089, 8, 162601, 8, 163113, 8, 163625, 8, 164137, 8, 164649, 8, 165161, 8, 165673, 8, 166185, 8, 166697, 8, 167209, 8, 167721, 8, 168233, 8, 168744, 9, 169256, 9, 169768, 9, 170280, 9, 170793, 8, 171305, 8, 171817, 8, 172329, 8, 172841, 8, 173353, 8, 173865, 8, 174377, 8, 174889, 8, 175401, 8, 175913, 8, 176425, 8, 176937, 8, 177449, 8, 177961, 8, 178473, 8, 178985, 8, 179497, 8, 180009, 8, 180521, 8, 181033, 8, 181545, 8, 182056, 9, 182568, 9, 183080, 9, 183592, 9, 184104, 10, 184616, 10, 185128, 10, 185640, 10, 186152, 10, 186664, 10, 187176, 10, 187688, 10, 188200, 10, 188712, 10, 189224, 10, 189736, 10, 190248, 10, 190760, 10, 191272, 10, 191784, 10, 192296, 10, 192808, 9, 193320, 9, 193832, 9, 194344, 9, 194856, 9, 195368, 9, 195881, 8, 196393, 8, 196905, 8, 197417, 8, 197929, 8, 198441, 8, 198953, 8, 199464, 9, 199976, 9, 200488, 9, 201000, 9, 201512, 9, 202024, 10, 202536, 10, 203048, 10, 203560, 10, 204072, 10, 204584, 10, 205096, 10, 205608, 10, 206120, 10, 206632, 10, 207144, 10, 207656, 10, 208168, 10, 208680, 10, 209192, 9, 209704, 9, 210216, 9, 210728, 9, 211241, 8, 211753, 8, 212265, 8, 212777, 8, 213289, 7, 213801, 7, 214313, 7, 214825, 7, 215337, 7, 215849, 7, 216361, 7, 216873, 7, 217385, 7, 217897, 7, 218409, 7, 218921, 7, 219433, 7, 219945, 7, 220457, 7, 220969, 7, 221481, 7, 221993, 8, 222505, 8, 223017, 8, 223529, 8, 224040, 9, 224552, 9, 225064, 9, 225576, 9, 226088, 9, 226600, 9, 227112, 9, 227624, 9, 228136, 9, 228648, 9, 229160, 9, 229672, 9, 230184, 9, 230696, 9, 231208, 9, 231720, 9, 232232, 9, 232744, 9, 233256, 9, 233768, 8, 234280, 8, 234792, 9, 235304, 9, 235816, 9, 236328, 9, 236840, 9, 237352, 9, 237864, 9, 238376, 9, 238888, 9, 239400, 9, 239912, 9, 240424, 9, 240936, 9, 241448, 9, 241960, 9, 242472, 9, 242984, 9, 243496, 9, 244009, 7, 244521, 6, 245034, 4, 245547, 2]"
